사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Feb-20,2호선,229,봉천,56 ,0 ,13383 ,1588 ,25978 ,7408 ,76084 ,10578 ,116972 ,24700 ,68291 ,20781 ,35169 ,18825 ,27948 ,18750 ,31069 ,19425 ,31034 ,23638 ,26247 ,24674 ,26387 ,31675 ,26820 ,34147 ,29141 ,46858 ,33793 ,79152 ,20553 ,71966 ,15450 ,43695 ,14296 ,40378 ,10681 ,38697 ,4922 ,23421 ,864 ,7503 ,1 ,195 ,1 ,1 ,0 ,0 
Feb-20,2호선,230,신림,214 ,10 ,37118 ,4487 ,71824 ,19796 ,198521 ,30156 ,307436 ,59754 ,179859 ,50259 ,89829 ,42732 ,73194 ,44162 ,78631 ,50054 ,78225 ,59104 ,69073 ,66060 ,67956 ,80479 ,72329 ,95514 ,79610 ,130298 ,90270 ,234366 ,63338 ,229710 ,50472 ,136512 ,49489 ,125151 ,45922 ,119835 ,27399 ,81195 ,4665 ,24560 ,1 ,286 ,1 ,0 ,0 ,0 
Feb-20,2호선,231,신대방,100 ,0 ,20971 ,2155 ,32757 ,9070 ,84330 ,16240 ,126858 ,32763 ,74809 ,21736 ,38377 ,16767 ,29979 ,16287 ,31565 ,18844 ,31727 ,22625 ,27506 ,24830 ,26470 ,32954 ,28083 ,37187 ,31942 ,52033 ,40721 ,83770 ,23603 ,80854 ,16942 ,50914 ,13431 ,52826 ,10372 ,54494 ,5399 ,31029 ,974 ,8513 ,0 ,68 ,0 ,0 ,0 ,0 
Feb-20,2호선,232,구로디지털단지,216 ,4 ,35640 ,6090 ,47821 ,20847 ,131602 ,67158 ,179576 ,247967 ,110055 ,153423 ,60664 ,55291 ,52762 ,44748 ,59113 ,45176 ,63525 ,54754 ,57244 ,55453 ,60371 ,62662 ,70285 ,67745 ,110749 ,98049 ,220856 ,152634 ,119014 ,139804 ,68562 ,83867 ,55561 ,80168 ,46085 ,82247 ,22270 ,49913 ,3353 ,13016 ,0 ,112 ,0 ,0 ,0 ,0 
Feb-20,2호선,233,대림(구로구청),495 ,6 ,29723 ,3383 ,28022 ,10865 ,60953 ,18775 ,91112 ,52806 ,61407 ,33559 ,32066 ,25438 ,26169 ,24187 ,28651 ,23756 ,29364 ,27018 ,26841 ,27337 ,26514 ,33797 ,30120 ,36466 ,37775 ,52953 ,52740 ,64154 ,28097 ,54043 ,18505 ,35723 ,14755 ,45076 ,10037 ,46211 ,5396 ,22673 ,760 ,5823 ,0 ,154 ,0 ,0 ,0 ,0 
Feb-20,2호선,234,신도림,2954 ,17 ,31903 ,5111 ,46142 ,16859 ,128282 ,37347 ,134346 ,114430 ,83324 ,70384 ,51808 ,61108 ,50063 ,54212 ,59885 ,58485 ,65032 ,63677 ,63893 ,61220 ,66062 ,65488 ,72993 ,73792 ,91734 ,92585 ,134644 ,158104 ,78054 ,133897 ,63798 ,73758 ,62976 ,64916 ,45276 ,65679 ,21146 ,47350 ,2554 ,20727 ,3 ,2744 ,0 ,0 ,0 ,0 
Feb-20,2호선,235,문래,6 ,0 ,3258 ,1635 ,9898 ,9389 ,38330 ,28443 ,41545 ,118529 ,23297 ,53263 ,16293 ,21305 ,15787 ,17376 ,17319 ,17821 ,20418 ,19999 ,20602 ,18872 ,21917 ,18523 ,26571 ,20155 ,44795 ,25937 ,97247 ,45050 ,36953 ,37129 ,23704 ,19555 ,23157 ,17029 ,17980 ,15605 ,8547 ,9713 ,1305 ,3365 ,0 ,55 ,0 ,0 ,0 ,0 
Feb-20,2호선,236,영등포구청,26 ,2 ,4893 ,2567 ,11234 ,10853 ,39192 ,30995 ,46266 ,116861 ,27681 ,50479 ,20058 ,24605 ,20294 ,21829 ,22294 ,21588 ,25244 ,25012 ,25236 ,23019 ,26498 ,23650 ,30445 ,24577 ,45684 ,30211 ,100615 ,50921 ,37554 ,38555 ,26253 ,21397 ,25009 ,19318 ,20571 ,18065 ,8902 ,12315 ,1397 ,4410 ,1 ,58 ,0 ,0 ,0 ,0 
Feb-20,2호선,237,당산,41 ,1 ,5622 ,2769 ,14696 ,12954 ,41730 ,25016 ,55815 ,81303 ,32890 ,39212 ,20759 ,20218 ,19381 ,18297 ,20362 ,19016 ,21679 ,21428 ,20552 ,21119 ,21069 ,22325 ,24127 ,25676 ,36563 ,37385 ,62978 ,66891 ,32090 ,51654 ,20676 ,31030 ,20056 ,28047 ,17502 ,26656 ,8993 ,17656 ,1382 ,4319 ,0 ,61 ,0 ,1 ,0 ,0 
Feb-20,2호선,238,합정,138 ,0 ,8165 ,2677 ,15032 ,14891 ,39080 ,31825 ,53435 ,94017 ,33932 ,67894 ,24154 ,41109 ,25182 ,38082 ,29401 ,43393 ,33530 ,49797 ,35462 ,46822 ,38827 ,44698 ,46425 ,52045 ,64175 ,65433 ,109169 ,99916 ,68813 ,78565 ,53947 ,38670 ,62266 ,29986 ,59994 ,26379 ,31959 ,18446 ,5105 ,6747 ,0 ,138 ,0 ,0 ,0 ,0 
