사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-02,분당선,1868,영통,187999,190158,21211,21199
2020-02,분당선,1869,망포,302372,284215,24720,23738
2020-02,분당선,1870,매탄권선,94353,88241,12138,11858
2020-02,분당선,1871,수원시청,259656,295494,27247,27856
2020-02,분당선,1872,매교,41663,42237,11660,11921
2020-02,일산선,1948,원흥,183379,170237,39113,38055
2020-02,일산선,1950,삼송,365141,347223,67850,67691
2020-02,일산선,1951,원당,215287,203681,59422,58847
2020-02,일산선,1952,화정,354938,368877,89617,92114
2020-02,일산선,1953,대곡,33284,23341,7268,6524
2020-02,일산선,1954,백석,202050,203678,55025,53799
2020-02,일산선,1955,마두,134536,140699,51330,52127
2020-02,일산선,1956,정발산,151063,163067,36947,34710
2020-02,일산선,1957,주엽,150408,152965,59704,61871
2020-02,일산선,1958,대화,282683,215893,58320,53324
2020-02,중앙선,1015,회기,525941,503048,93511,92500
2020-02,중앙선,1201,중랑,100416,96761,37288,37586
2020-02,중앙선,1202,상봉(시외버스터미널),120902,117268,29446,27753
2020-02,중앙선,1203,망우,136095,133861,51716,53253
2020-02,중앙선,1204,양원,24133,24806,11518,12042
2020-02,중앙선,1205,구리,262407,269643,59624,61110
2020-02,중앙선,1206,도농,191556,171079,42978,41851
2020-02,중앙선,1207,양정,14218,12293,5563,5088
2020-02,중앙선,1208,덕소,105922,104977,36011,36280
2020-02,중앙선,1209,도심,48089,36457,13143,12458
2020-02,중앙선,1210,팔당,16122,16199,4792,4708
2020-02,중앙선,1211,운길산,11794,10277,5194,5147
2020-02,중앙선,1212,양수,28137,28085,12382,12748
2020-02,중앙선,1213,신원,2395,2201,2085,1739
2020-02,중앙선,1214,국수,9623,9818,5643,5825
2020-02,중앙선,1215,아신,8978,8990,3808,3760
2020-02,중앙선,1216,오빈,4019,3949,2410,2460
2020-02,중앙선,1217,양평,45487,46374,19982,20046
2020-02,중앙선,1218,원덕,4001,3841,3524,3539
2020-02,중앙선,1219,용문,23022,23820,20400,20565
2020-02,중앙선,1220,지평,515,386,527,420
2020-02,장항선,1401,봉명,18391,17895,8136,7776
2020-02,장항선,1402,쌍용(나사렛대),33805,31251,7960,7378
2020-02,장항선,1403,아산,53022,47399,6471,6072
2020-02,장항선,1405,배방,16996,16303,4119,3971
2020-02,장항선,1407,온양온천,53923,54389,29698,30707
2020-02,장항선,1408,신창(순천향대),18995,18386,4152,3932
2020-02,경의선,1251,서울역,82257,103554,10106,12360
2020-02,경의선,1252,신촌,16097,21366,2939,3391
2020-02,경의선,1261,효창공원앞,56842,63542,10504,11338
2020-02,경의선,1262,공덕,78638,65717,9819,9132
2020-02,경의선,1263,서강대,44169,43718,7839,7495
2020-02,경의선,1264,홍대입구,42310,50112,3839,4225
2020-02,경의선,1265,가좌,92294,83243,32526,32723
2020-02,경의선,1266,디지털미디어시티,49728,47639,7483,7654
2020-02,경의선,1267,수색,45163,45434,9991,10281
2020-02,경의선,1268,화전,29705,26632,6449,6097
2020-02,경의선,1269,강매,57794,47574,12345,11988
2020-02,경의선,1270,행신,163435,156253,24462,24756
2020-02,경의선,1271,능곡,66117,59244,21191,20941
2020-02,경의선,1272,곡산,9279,9746,3312,3119
2020-02,경의선,1273,백마,137698,126657,23898,23744
2020-02,경의선,1274,풍산,105722,96667,22408,22093
2020-02,경의선,1275,일산,171160,166009,41015,41102
2020-02,경의선,1276,탄현,156317,149916,26826,26154
2020-02,경의선,1277,야당,116083,110750,20632,20318
2020-02,경의선,1278,운정,118499,109355,23947,23971
2020-02,경의선,1279,금릉,89846,88528,18360,18004
2020-02,경의선,1280,금촌,127930,125294,32562,33201
2020-02,경의선,1282,월롱,44009,39474,5398,6133
2020-02,경의선,1283,파주,22042,15344,5524,4472
2020-02,경의선,1284,문산,100157,99183,29647,29426
2020-02,경의선,1291,서울역,4,0,0,0
2020-02,경의선,1295,김포공항,1,0,0,0
2020-02,경의선,1296,계양,4,0,1,0
2020-02,경의선,1297,검암,3,0,0,0
2020-02,경춘선,1311,신내,21884,22828,9649,9609
2020-02,경춘선,1312,갈매,53471,44952,13525,12802
2020-02,경춘선,1313,별내,47910,46813,13560,13207
2020-02,경춘선,1314,퇴계원,67547,61854,19827,19134
2020-02,경춘선,1315,사릉,65023,61632,14398,14444
2020-02,경춘선,1316,금곡,25096,23591,11261,11003
